;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.013617284,0.010811303,0.013617284,0.010811303
2,0.006224615,0.004888295,0.006224615,0.004888295
3,0.002090309,0.003623407,0.002090309,0.003623407
4,0.002618896,0.004691366,0.002618896,0.004691366
5,0.007032599,0.01301539,0.007032599,0.01301539
6,0.018555798,0.025573379,0.018555798,0.025573379
7,0.042395077,0.03378379,0.042395077,0.03378379
8,0.076892701,0.044660312,0.076892701,0.044660312
9,0.082529705,0.052556394,0.082529705,0.052556394
10,0.067993559,0.049753948,0.067993559,0.049753948
11,0.055764556,0.051795189,0.055764556,0.051795189
12,0.059710081,0.054184843,0.059710081,0.054184843
13,0.054046648,0.052461717,0.054046648,0.052461717
14,0.056025074,0.052802555,0.056025074,0.052802555
15,0.056889691,0.056381355,0.056889691,0.056381355
16,0.060446328,0.079943762,0.060446328,0.079943762
17,0.064138886,0.093694685,0.064138886,0.093694685
18,0.068412891,0.101208271,0.068412891,0.101208271
19,0.057388073,0.064432708,0.057388073,0.064432708
20,0.042296911,0.044501254,0.042296911,0.044501254
21,0.034016971,0.033435378,0.034016971,0.033435378
22,0.028757529,0.027989543,0.028757529,0.027989543
23,0.024253212,0.023808595,0.024253212,0.023808595
24,0.017902615,0.02000257,0.017902615,0.02000257
