;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.01289104,0.01227303,0.01289104,0.01227303
2,0.007526922,0.00624961,0.007526922,0.00624961
3,0.005444652,0.004720301,0.005444652,0.004720301
4,0.016978286,0.011542364,0.016978286,0.011542364
5,0.026242938,0.023508137,0.026242938,0.023508137
6,0.059107188,0.036292848,0.059107188,0.036292848
7,0.062172782,0.115582563,0.062172782,0.115582563
8,0.346438295,0.351618398,0.346438295,0.351618398
9,0.375930634,0.370510358,0.375930634,0.370510358
10,0.277631071,0.277871245,0.277631071,0.277871245
11,0.066804402,0.094295485,0.066804402,0.094295485
12,0.076899011,0.081594437,0.076899011,0.081594437
13,0.086993619,0.084660416,0.086993619,0.084660416
14,0.095761355,0.089387356,0.095761355,0.089387356
15,0.110580276,0.091815625,0.110580276,0.091815625
16,0.309732254,0.322446094,0.309732254,0.322446094
17,0.365724379,0.38100006,0.365724379,0.38100006
18,0.324543367,0.296553846,0.324543367,0.296553846
19,0.096440505,0.090415232,0.096440505,0.090415232
20,0.09,0.084217382,0.09,0.084217382
21,0.07,0.062977502,0.07,0.062977502
22,0.054,0.04946324,0.054,0.04946324
23,0.036890427,0.040084284,0.036890427,0.040084284
24,0.025229471,0.023071278,0.025229471,0.023071278
