;Hours,Dir_1,Dir_2
1,-3.303114998,-3.303114998
2,-3.303114998,-3.303114998
3,-3.303114998,-3.303114998
4,-3.303114998,-3.303114998
5,-3.303114998,-3.303114998
6,-2.504614386,-2.504614386
7,-1.469614386,-1.469614386
8,-1.469614386,-1.469614386
9,-1.469614386,-1.469614386
10,-2.021614386,-2.021614386
11,-2.021614386,-2.021614386
12,-2.021614386,-2.021614386
13,-2.021614386,-2.021614386
14,-2.021614386,-2.021614386
15,-2.021614386,-2.021614386
16,-2.021614386,-2.021614386
17,-1.469614386,-1.469614386
18,-1.469614386,-1.469614386
19,-1.469614386,-1.469614386
20,-2.504614386,-2.504614386
21,-3.303114998,-3.303114998
22,-3.303114998,-3.303114998
23,-3.303114998,-3.303114998
24,-3.303114998,-3.303114998
