A,B,PULL,Seg,Dir,LType
28684,28682,1,1,SB,EL
28681,28683,1,1,NB,EL
19701,13648,1,1,SB,GU
13649,19702,1,1,NB,GU
28658,28656,1,2,SB,EL
28655,28657,1,2,NB,EL
19711,19713,1,2,SB,GU
19714,19712,1,2,NB,GU
28634,28632,1,3,SB,EL
28631,28633,1,3,NB,EL
19811,19813,1,3,SB,GU
19814,19812,1,3,NB,GU
28606,28604,1,5,SB,EL
28603,28605,1,5,NB,EL
90038,13282,1,5,SB,GU
13281,90037,1,5,NB,GU
19415,19832,1,6,NB,GU
80020,19413,1,6,SB,GU
28591,28737,1,6,NB,EL
28737,28592,1,6,SB,EL
28615,28617,1,4,NB,EL
28618,28616,1,4,SB,EL
19822,19820,1,4,NB,GU
19819,19821,1,4,SB,GU
