;Hours,Dir_1,Dir_2,Dir_3,Dir_4
1,0.006456439,0.0039391,0.004268786,0.00627863
2,0.003564569,0.002242539,0.002777324,0.003342839
3,0.00254821,0.001854125,0.002146589,0.002510732
4,0.002061966,0.002253532,0.002620512,0.002056855
5,0.002943054,0.00480387,0.005920545,0.003317624
6,0.008065065,0.013239041,0.018148438,0.009859214
7,0.026856739,0.050519417,0.057640806,0.036086813
8,0.07,0.13,0.115,0.075
9,0.075,0.11,0.1147,0.08
10,0.06,0.0814,0.075,0.055
11,0.039166383,0.04869827,0.048489923,0.039591751
12,0.040431348,0.04491307,0.042234845,0.039501696
13,0.042464066,0.044026314,0.043099056,0.041673821
14,0.046156593,0.041699497,0.043112995,0.043413682
15,0.052079261,0.045209876,0.045569725,0.052602888
16,0.064992139,0.054066439,0.054828635,0.068236424
17,0.1,0.075,0.07,0.0913
18,0.12,0.08,0.08,0.115
19,0.1036,0.065,0.065,0.09
20,0.048174687,0.033568461,0.04065975,0.050603668
21,0.030000872,0.022707538,0.024908801,0.034530664
22,0.024710686,0.01824811,0.019880346,0.027167772
23,0.018528445,0.018061232,0.01497734,0.021559151
24,0.012170717,0.008574413,0.009046341,0.011321706
