;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.002659958,0.008829846,0.002659958,0.008829846
2,0.001931889,0.004907687,0.001931889,0.004907687
3,0.001779407,0.003306302,0.001779407,0.003306302
4,0.003611595,0.003064603,0.003611595,0.003064603
5,0.010023296,0.004208325,0.010023296,0.004208325
6,0.036732342,0.008011667,0.036732342,0.008011667
7,0.113519519,0.021847054,0.113519519,0.021847054
8,0.119373049,0.034428242,0.119373049,0.034428242
9,0.110159239,0.035641703,0.110159239,0.035641703
10,0.077560481,0.037358148,0.077560481,0.037358148
11,0.060517573,0.036087621,0.060517573,0.036087621
12,0.053710136,0.039352336,0.053710136,0.039352336
13,0.049092486,0.045483111,0.049092486,0.045483111
14,0.045379242,0.051299539,0.045379242,0.051299539
15,0.046893369,0.062581259,0.046893369,0.062581259
16,0.048342938,0.091289876,0.048342938,0.091289876
17,0.048383846,0.118478437,0.048383846,0.118478437
18,0.050559026,0.117529967,0.050559026,0.117529967
19,0.042552989,0.091337591,0.042552989,0.091337591
20,0.028419862,0.060888991,0.028419862,0.060888991
21,0.018669843,0.043804582,0.018669843,0.043804582
22,0.014626812,0.035712883,0.014626812,0.035712883
23,0.009932896,0.025906822,0.009932896,0.025906822
24,0.005522262,0.018643407,0.005522262,0.018643407
